artist,degree,weighted_degree,total_certifs,max_cert_level,avg_cert_level,collab_rate,annee_median,singles_rate,log_listeners,log_playcount,n_tags,has_lastfm,genre_rap_hiphop,genre_pop,genre_rock,genre_electronic,genre_rnb_soul,genre_chanson_fr,genre_metal,genre_jazz,genre_reggae_latin,genre_classical
MATT,12,7.803459,6.0,2.0,0.3333333333333333,0.0,2001.0,0.5,10.412862124034804,12.347680708861866,5,1,0,0,0,0,1,0,0,0,0,0
MMZ,7,6.397368999999999,3.0,2.0,0.6666666666666666,0.0,2017.0,0.6666666666666666,9.94193873891038,13.772323268337734,2,1,0,0,0,0,0,0,0,0,0,0
GUIZMO,33,28.601793999999998,1.0,2.0,2.0,0.0,2016.0,1.0,10.784047474454484,14.351046745379028,5,1,1,0,0,0,0,0,0,0,0,0
KRISY,18,13.948555,0.0,0.0,0.0,0.0,2015.0,0.0,10.93891151924848,14.124899326175745,5,1,1,0,0,0,0,0,0,0,0,0
LEFA,8,6.460724,8.0,2.0,1.0,0.375,2019.0,0.625,10.879272856195923,14.675965060350917,1,1,0,0,0,0,0,0,0,0,0,0
DAU,17,8.500281,1.0,0.0,0.0,0.0,2023.0,1.0,9.709113657218,12.74508331282918,3,1,0,0,0,0,0,0,0,0,0,1
GROS MO,8,7.031783,1.0,0.0,0.0,1.0,2022.0,1.0,10.180891990576775,13.07975645751882,2,1,1,0,0,0,0,0,0,0,0,0
DENDEN,22,13.752346000000003,1.0,0.0,0.0,0.0,2024.0,1.0,9.762557428101923,12.38561116660362,1,1,0,0,0,0,0,0,0,0,0,0
TRIANGLE DES BERMUDES,30,20.14643699999999,2.0,5.0,2.5,0.0,2024.0,1.0,10.83683203897611,13.130218445419661,5,1,1,0,0,0,0,0,0,0,1,0
DIAM'S,20,15.816071999999998,7.0,5.0,1.8571428571428572,0.0,2003.5,0.42857142857142855,11.635426243445643,14.218113574192182,5,1,1,0,0,0,0,0,0,0,0,0
MEDINE,9,5.771978999999999,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
DJ HAMIDA,7,5.245762,3.0,0.0,0.0,0.3333333333333333,2017.0,0.3333333333333333,10.47627337642489,13.114063024588432,5,1,1,0,0,0,0,0,0,0,0,0
MARWA LOUD,16,13.100061,11.0,5.0,1.1818181818181819,0.18181818181818182,2018.0,0.8181818181818182,11.89123175523562,14.259354358158792,5,1,1,0,0,0,1,0,0,0,0,0
DJ KAYZ,5,3.946319,3.0,2.0,1.3333333333333333,0.6666666666666666,2018.0,0.6666666666666666,10.535716318126656,12.94345678298317,5,1,0,0,0,0,0,0,0,0,0,0
JOE DWET FILE,9,6.696599000000001,5.0,5.0,1.4,0.4,2021.0,1.0,7.175489713624222,10.14218944276619,2,1,0,0,0,0,0,0,0,0,0,0
DJANGO,29,22.666263999999998,2.0,0.0,0.0,0.0,2016.5,1.0,11.055245585413324,14.372284597669537,5,1,1,0,0,0,0,0,0,0,0,0
LE RAT LUCIANO,15,9.463877999999998,0.0,0.0,0.0,0.0,2015.0,0.0,9.647239545573877,11.938683276346156,5,1,1,0,0,0,0,0,0,0,0,0
STILL FRESH,28,19.772791,4.0,2.0,0.5,0.0,2017.0,0.5,10.282608685304691,12.947833784259995,5,1,1,0,0,0,0,0,0,0,0,0
YA LEVIS,2,2.3161829999999997,1.0,0.0,0.0,0.0,2021.0,1.0,10.313376195704071,13.072670906278384,5,1,0,0,0,0,1,0,0,0,0,0
MOHA LA SQUALE,29,18.429902,7.0,5.0,2.142857142857143,0.0,2018.0,0.8571428571428571,10.893493322232564,14.201932830061743,5,1,1,0,0,0,0,0,0,0,0,0
GHOST KILLER TRACK,18,10.333872,0.0,0.0,0.0,0.0,2015.0,0.0,11.155807565798453,14.034805111380617,0,1,0,0,0,0,0,0,0,0,0,0
GIANNI,28,17.195926000000004,1.0,2.0,2.0,1.0,2023.0,1.0,10.617000927048924,13.014856114688596,5,1,1,0,0,0,0,0,0,0,0,0
KPOINT,19,12.161455,2.0,5.0,2.5,1.0,2019.0,1.0,9.944293546928382,12.480361680308437,1,1,1,0,0,0,0,0,0,0,0,0
H.E.M,23,12.70794,1.0,0.0,0.0,0.0,2024.0,1.0,9.165343006045447,11.637644391627724,0,1,0,0,0,0,0,0,0,0,0,0
JYEUHAIR,26,14.826519000000001,1.0,0.0,0.0,0.0,2024.0,1.0,9.439068301584292,12.573001339632315,5,1,1,1,0,1,0,0,0,0,0,0
ALKPOTE,4,2.078014,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
HMZ,16,10.298939,1.0,0.0,0.0,1.0,2025.0,1.0,9.243678431586693,11.869851377413731,0,1,0,0,0,0,0,0,0,0,0,0
IMEN ES,8,8.920942,5.0,2.0,1.2,0.2,2020.0,0.6,9.925493632798743,12.499838673137196,5,1,1,0,0,0,1,0,0,0,0,0
ISK,7,5.119580000000001,2.0,0.0,0.0,0.0,2021.0,0.5,9.740615619563487,13.002049391593983,3,1,1,0,0,0,0,0,0,0,0,0
LOGOBI GT,18,10.277647,2.0,2.0,1.0,0.5,2010.5,1.0,9.917242517768464,11.983447709711697,5,1,0,0,0,1,0,0,0,0,0,0
JKSN,23,19.066633000000003,0.0,0.0,0.0,0.0,2015.0,0.0,9.664532150174582,12.721969389403968,0,1,0,0,0,0,0,0,0,0,0,0
ZOKUSH,28,15.751148,1.0,0.0,0.0,0.0,2022.0,1.0,9.521641310026597,12.520018047569776,0,1,0,0,0,0,0,0,0,0,0,0
LA RVFLEUZE,22,17.739375999999996,0.0,0.0,0.0,0.0,2015.0,0.0,10.553570643625047,14.216158080118136,0,1,0,0,0,0,0,0,0,0,0,0
MANAU,8,4.49273,5.0,5.0,1.4,0.0,1998.0,0.8,11.70258668706757,14.25615939540692,5,1,1,0,0,0,0,0,0,0,0,0
TIMAR,19,12.021859000000001,0.0,0.0,0.0,0.0,2015.0,0.0,9.371353167823885,12.97791778383879,0,1,0,0,0,0,0,0,0,0,0,0
MONSIEUR NOV,4,2.634791,0.0,0.0,0.0,0.0,2015.0,0.0,9.98432994038023,13.120092801596972,5,1,0,0,0,0,1,0,0,0,0,0
LIVAI,18,12.237253000000003,1.0,0.0,0.0,0.0,2020.0,1.0,9.981697813072689,13.44213696440249,0,1,0,0,0,0,0,0,0,0,0,0
LORD ESPERANZA,16,12.295528000000003,1.0,0.0,0.0,0.0,2017.0,1.0,10.07200594918639,13.07871029580292,5,1,1,0,0,0,0,0,0,0,0,0
M POKORA,11,8.125223000000002,10.0,5.0,1.0,0.1,2006.5,0.4,11.737667737648135,14.790084160129084,5,1,1,1,0,0,1,0,0,0,0,0
NEJ,12,9.500731,3.0,2.0,0.6666666666666666,0.0,2021.0,0.6666666666666666,11.806385810998151,14.626601650128263,5,1,0,1,0,0,1,0,0,0,0,0
MC MENOR JP,14,8.463057,1.0,2.0,2.0,0.0,2024.0,1.0,10.980876204752612,13.013822253414654,1,1,0,0,0,0,0,0,0,0,0,0
ZEG P,27,15.928387000000004,1.0,5.0,5.0,1.0,2022.0,1.0,10.788225695897177,13.29104060559549,0,1,0,0,0,0,0,0,0,0,0,0
NASSI,13,8.462513,1.0,0.0,0.0,0.0,2017.0,1.0,9.618535084655214,11.795145145687446,1,1,0,0,0,0,0,0,0,0,0,0
NUSKY,13,7.407736,1.0,0.0,0.0,0.0,2018.0,1.0,9.388821229384199,12.364916580500124,1,1,1,0,0,0,0,0,0,0,0,0
YOURI,17,10.350348,0.0,0.0,0.0,0.0,2015.0,0.0,9.374073563958785,12.75055449088088,0,1,0,0,0,0,0,0,0,0,0,0
PONKO,25,14.733366000000004,1.0,0.0,0.0,1.0,2024.0,1.0,9.197255132427527,11.468618237408252,0,1,0,0,0,0,0,0,0,0,0,0
PRIME,23,14.038572000000002,2.0,0.0,0.0,0.0,2019.5,1.0,10.495238571215703,13.391666588523977,5,1,1,0,0,0,0,0,0,0,0,0
WIZTHEMC,9,5.445548,0.0,0.0,0.0,0.0,2015.0,0.0,13.407435547020706,15.784934367078732,5,1,1,0,0,0,0,0,0,0,0,0
