source,target,weight,type
GAZO,NAHIR,0.811659,similar
GAZO,NIRO,0.509755,similar
GAZO,NONO LA GRINTA,0.514705,similar
GAZO,PONKO,0.645421,similar
GAZO,RIM'K,0.79556,similar
GAZO,RK,0.711847,similar
GAZO,S.PRI NOIR,0.686962,similar
GAZO,SADEK,0.503222,similar
GAZO,SOSO MANESS,0.575641,similar
GAZO,THEODORT,1.0,similar
GAZO,TIMAL,0.493187,similar
GAZO,TRIANGLE DES BERMUDES,0.482599,similar
GAZO,VEN1,0.736307,similar
GAZO,YG PABLO,0.629615,similar
GAZO,YORSSY,0.551246,similar
GAZO,ZEG P,1.0,similar
GAZO,ZKR,0.65132,similar
GAZO,ZOKUSH,0.528281,similar
SCH,WERENOI,2.0,collab+similar
SCH,JUL,5.040121,collab+similar
SCH,13 BLOCK,1.4149310000000002,similar
SCH,1PLIKE140,0.602025,similar
SCH,A2H,0.477495,similar
SCH,ALPHA WANN,1.2461959999999999,similar
SCH,ATEYABA,1.127502,similar
SCH,DA UZI,1.33345,similar
SCH,DEEN BURBIGO,0.424832,similar
SCH,DINOS,1.910288,similar
SCH,DISIZ,0.593269,similar
SCH,DJANGO,0.691458,similar
SCH,GIANNI,0.541426,similar
SCH,GRADUR,0.562749,similar
SCH,GREEN MONTANA,1.856996,similar
SCH,GUIZMO,0.888218,similar
SCH,HAYCE LEMSI,0.479281,similar
SCH,HEUSS L'ENFOIRE,1.354844,similar
SCH,ISHA,0.985673,similar
SCH,JEY BROWNIE,0.400721,similar
SCH,JOK'AIR,0.541681,similar
SCH,JOSMAN,1.334391,similar
SCH,JYEUHAIR,0.441916,similar
SCH,KAARIS,1.7557909999999999,similar
SCH,KALASH CRIMINEL,1.18482,similar
SCH,KAZA,0.461927,similar
SCH,KEKRA,1.763541,similar
SCH,KOFS,0.419922,similar
SCH,LA FEVE,1.3168419999999998,similar
SCH,LACRIM,1.460574,similar
SCH,LAYLOW,1.691084,similar
SCH,LUNATIC,0.589816,similar
SCH,LUV RESVAL,1.222428,similar
SCH,MADEINPARIS,0.52247,similar
SCH,MAES,1.1144509999999999,similar
SCH,MISTER V,0.542767,similar
SCH,MOHA LA SQUALE,0.435316,similar
SCH,NAHIR,0.621811,similar
SCH,NISKA,1.263912,similar
SCH,OBOY,1.42231,similar
SCH,RIM'K,0.713959,similar
SCH,S.PRI NOIR,0.672624,similar
SCH,SADEK,0.717343,similar
SCH,DAMSO,0.900961,similar
SCH,FREEZE CORLEONE,0.830859,similar
SCH,B.B. JACQUES,0.826453,similar
SCH,VALD,1.70017,similar
SCH,JAZZY BAZZ,0.59227,similar
SCH,LESRAM,0.567548,similar
SCH,SOSO MANESS,0.492722,similar
SCH,ZEG P,0.723166,similar
ABOU DEBEING,DADJU,2.0,collab+similar
ABOU DEBEING,DJ ERISE,1.869405,similar
ABOU DEBEING,ELAMS,1.301768,similar
ABOU DEBEING,FABABY,1.390405,similar
S.PRI NOIR,ALONZO,2.0,collab+similar
S.PRI NOIR,NEKFEU,4.171866,collab+similar
S.PRI NOIR,4KEUS,1.039075,similar
S.PRI NOIR,A2H,0.79953,similar
S.PRI NOIR,ASHH,0.515119,similar
S.PRI NOIR,BEKAR,1.157175,similar
S.PRI NOIR,BOLEMVN,0.593542,similar
S.PRI NOIR,BRAMSITO,0.605289,similar
S.PRI NOIR,DA UZI,1.320227,similar
S.PRI NOIR,DAU,0.440581,similar
S.PRI NOIR,DEEN BURBIGO,1.0828470000000001,similar
S.PRI NOIR,DINOS,1.758939,similar
S.PRI NOIR,DISIZ,0.657102,similar
S.PRI NOIR,DOUMS,1.50592,similar
