Interprete;Titre;Editeur / Distributeur;Categorie;Certification;Date de sortie;Date de constat;Duree obtention
EMINEM;THE EMINEM SHOW;POLYDOR INTERNATIONAL/UNIVERSAL MUSIC/POLYDOR;Albums;Platine;27/05/2002;22/10/2002;4 mois
GOTAN PROJECT;LA REVANCHA DEL TANGO;BARCLAY/YA BASTA/UNIVERSAL MUSIC/BARCLAY;Albums;Or;22/10/2001;22/10/2002;1 an
NELLY;DILEMMA;UNIVERSAL RECORDS US/UNIVERSAL MUSC;Singles;Or;20/10/2002;20/10/2002;
ELVIS PRESLEY;A LITTLE LESS CONVERSATION;RCA INTERNATIONAL/BMG France;Singles;Or;24/06/2002;15/10/2002;3 mois
JENIFER;J'ATTENDS L'AMOUR;NEW PROD/UNE MUSIQUE/ISLAND/UNIVERSAL MUSIC/MERCURY;Singles;Or;15/04/2002;27/08/2002;4 mois
JENIFER;AU SOLEIL;NEW PROD/UNE MUSIQUE/ISLAND/UNIVERSAL MUSIC/MERCURY;Singles;Or;07/07/2002;27/08/2002;1 mois
DALIDA;40 SUCCES EN OR;BARCLAY/ORLANDO/UNIVERSAL MUSIC / BARCLAY;Albums;Platine;09/11/1997;27/08/2002;4 ans 10 mois
ANDRE RIEU;AIMER;PHILIPS/UNIVERSAL MUSIC GROUP;Albums;Double or;05/11/2001;20/08/2002;9 mois
TIZIANO FERRO;ROSSO RELATIVO;EMI ITALIANA/EMI MUSIC France;Albums;Or;06/05/2002;13/08/2002;3 mois
TIZIANO FERRO;PERDONO;EMI ITALIANA/EMI MUSIC France;Singles;Or;13/02/2002;13/08/2002;6 mois
NORAH JONES;COME AWAY WITH ME;BLUE NOTE USA/EMI MUSIC France;Albums;Or;07/03/2002;13/08/2002;5 mois
KYLIE MINOGUE;FEVER;PARLOPHONE/EMI MUSIC France;Albums;Double or;03/10/2001;13/08/2002;10 mois
I MUVRINI;LEIA;EMI MUSIC France;Albums;Double or;10/05/1998;13/08/2002;4 ans 3 mois
KATE RYAN;DESENCHANTEE;D.LA./EMI MUSIC France;Singles;Or;30/06/2002;13/08/2002;1 mois
COMPILATION;NOW 3;EMI France/EMI MUSIC France;Albums;Or;11/08/2002;13/08/2002;
CHARLES AZNAVOUR;20 CHANSONS D'OR REMASTERISEES;EMI BOVEMA/EMI MUSIC France;Albums;Or;14/11/2001;13/08/2002;9 mois
