artist_snep,lastfm_name,mbid,listeners,playcount,tags,lastfm_url
AMIR,Amir,0ccd8f2f-3b6f-4313-808c-c5440eb479ec,114584.0,1613962.0,electronic|minimal|Eurovision|pop|tech house,https://www.last.fm/music/Amir
AMK,AMK,86c6bd74-f36a-4110-9e7d-86e84863c82c,28555.0,674680.0,noise|experimental|field recordings|ambient|flexi discs,https://www.last.fm/music/AMK
AMY,Amy,905925d2-5876-4617-8d52-3bd92884fc24,15728.0,88295.0,japanese|pop|j-pop|synthpop|electro,https://www.last.fm/music/Amy
AMY MACDONALD,Amy Macdonald,6aa40207-fec8-43a7-991d-b872a42def05,1304637.0,33515090.0,female vocalists|singer-songwriter|indie|acoustic|Scottish,https://www.last.fm/music/Amy+Macdonald
AMY WINEHOUSE,Amy Winehouse,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,4651945.0,205572966.0,soul|jazz|female vocalists|british|singer-songwriter,https://www.last.fm/music/Amy+Winehouse
ANA MENA,Ana Mena,905d9c0c-0632-4fab-a7b5-7d33b9699907,126684.0,4188356.0,pop|spanish|latin|sexy|female vocalist,https://www.last.fm/music/Ana+Mena
ANAIS,Anaïs,dfd0087e-64e2-4677-9d31-23f25974c138,142315.0,1175880.0,french|chanson francaise|female vocalists|nouvelle scene francaise|france,https://www.last.fm/music/Ana%C3%AFs
ANASTACIA,Anastacia,d3b2bec4-b70e-460e-b433-a865ceac2de8,1087923.0,16657018.0,pop|female vocalists|soul|rock|female,https://www.last.fm/music/Anastacia
ANDRE RIEU,André Rieu,0eaa4a38-6bc3-46aa-91be-563f1fa86e16,313736.0,3334510.0,Classical|instrumental|andre rieu|folk|beautiful,https://www.last.fm/music/Andr%C3%A9+Rieu
ANDRE VERCHUREN,André Verchuren,8153997d-0a0a-4f4a-8aa1-278bb2d7d006,8364.0,43897.0,musette|Accordeon|accordion|french|All,https://www.last.fm/music/Andr%C3%A9+Verchuren
ANDREA BOCELLI,Andrea Bocelli,c5a0a216-c33c-42dc-92b8-4b60236f8dad,1072536.0,16019100.0,Classical|opera|italian|male vocalists|andrea bocelli,https://www.last.fm/music/Andrea+Bocelli
ANDRÉ RIEU,André Rieu,0eaa4a38-6bc3-46aa-91be-563f1fa86e16,313736.0,3334510.0,Classical|instrumental|andre rieu|folk|beautiful,https://www.last.fm/music/Andr%C3%A9+Rieu
ANGE,Ange,f8c6b672-2cc4-4839-a795-b0d41d6e3f4e,27952.0,418046.0,Progressive rock|french|70s|rock|Progressive,https://www.last.fm/music/Ange
ANGELCY	/,,,,,,
ANGGUN,Anggun,c2543756-c98c-452e-b536-60f2ca877046,130951.0,1919466.0,pop|female vocalists|indonesian|french|alternative,https://www.last.fm/music/Anggun
