annee_sortie,mois_sortie,log_jours_obtention,n_artistes,is_collab,artist_total_certs,artist_max_cert_level,artist_collab_rate,label_freq,cert_level,cat_Singles,cat_Albums,cat_Videos,cat_Compilation
2017,4,8.068402958569699,1,0,10,5,0.3,0.035398230088495575,2,1,0,0,0
2017,10,8.005033344637111,2,1,1,2,1.0,0.0001246416552411816,2,1,0,0,0
2021,5,7.443078374348516,1,0,20,4,0.0,0.008724915866882713,2,1,0,0,0
2021,10,7.348587530927593,3,1,28,5,0.2857142857142857,0.000997133241929453,2,1,0,0,0
2022,12,7.033506484287697,3,1,6,5,0.6666666666666666,0.035398230088495575,2,1,0,0,0
2023,9,6.7580945044277305,1,0,10,5,0.0,0.0017449831733765424,2,1,0,0,0
2023,11,6.673297967767654,1,0,6,5,0.0,0.010220615729776892,2,1,0,0,0
2024,5,6.42648845745769,1,0,5,5,0.0,0.0006232082762059081,2,1,0,0,0
2025,1,5.910796644040527,1,0,11,5,0.2727272727272727,0.0012464165524118161,2,1,0,0,0
2025,4,5.60947179518496,3,1,37,5,0.24324324324324326,0.0034899663467530847,2,1,0,0,0
2016,11,8.11552088154677,1,0,22,5,0.18181818181818182,0.004736382899164901,5,1,0,0,0
2018,6,7.927324360309794,1,0,3,5,0.3333333333333333,0.0002492833104823632,5,1,0,0,0
2020,9,7.566311014772463,1,0,6,5,0.0,0.004736382899164901,5,1,0,0,0
2025,6,5.288267030694535,2,1,17,5,0.5882352941176471,0.0006232082762059081,0,1,0,0,0
2025,7,5.123963979403259,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2019,8,7.75491027202143,1,0,1,2,0.0,0.0001246416552411816,2,1,0,0,0
2016,9,8.130059039992796,1,0,8,2,0.25,0.013710582076529976,2,1,0,0,0
2018,3,7.952263308657046,1,0,87,5,0.25287356321839083,0.019693381528106693,2,1,0,0,0
2009,2,8.726481196440007,1,0,33,6,0.2727272727272727,0.0007478499314470896,3,0,1,0,0
2020,3,7.663407664893479,1,0,6,2,0.16666666666666666,0.0001246416552411816,0,1,0,0,0
2017,4,8.061802274538348,1,0,17,5,0.11764705882352941,0.013835223731771158,0,1,0,0,0
2018,10,7.881559917056899,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2019,12,7.6984827878809465,1,0,6,5,0.16666666666666666,0.029664713947401222,0,1,0,0,0
2018,1,7.978996370854115,1,0,7,5,0.0,0.006855291038264988,0,1,0,0,0
2019,6,7.77485576666552,2,1,20,5,0.4,0.019693381528106693,0,1,0,0,0
2020,2,7.6760099320288875,2,1,2,0,0.5,0.0013710582076529975,0,1,0,0,0
2018,6,7.917171988845776,1,0,4,2,0.5,0.0002492833104823632,0,1,0,0,0
2021,3,7.461065514354283,1,0,9,5,0.2222222222222222,0.0011217748971706345,0,1,0,0,0
2021,3,7.4673710669175595,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2023,6,6.837332814685591,2,1,13,5,0.3076923076923077,0.0001246416552411816,0,1,0,0,0
